Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Southern Miss,1-11,1.9 (0.9),9.9%,-16.0,113,18.4,117,34.5,101
UAB,2-10,3.1 (1.1),9.5%,-16.3,114,26.5,84,42.9,96
Central Michigan,6-6,4.6 (-1.4),8.9%,-16.7,115,19.1,116,35.8,79
Army,2-10,3.4 (1.4),7.9%,-17.6,116,24.2,98,41.7,119
Western Michigan,1-11,2.3 (1.3),7.3%,-18.1,117,16.8,121,34.9,107
Idaho,1-11,1.1 (0.1),6.9%,-18.4,118,21.1,110,39.6,125
Massachusetts,1-11,1.5 (0.5),5.4%,-20.1,119,14.3,123,34.3,124
UTEP,2-10,2.3 (0.3),3.6%,-22.3,120,19.9,115,42.3,118
Eastern Michigan,2-10,1.6 (-0.4),3.6%,-22.4,121,21.5,108,43.9,121
Georgia State,0-12,1.6 (1.6),3.5%,-22.6,122,17.2,120,39.8,110
Louisiana Tech,5-7,4.6 (-0.4),3.1%,-23.2,123,12.0,124,35.1,100
Florida International,1-11,0.8 (-0.2),2.6%,-24.2,124,10.8,126,35.0,126
Miami (Ohio),0-12,0.2 (0.2),2.5%,-24.4,125,11.8,125,36.2,120
New Mexico State,2-10,1.6 (-0.4),1.3%,-27.9,126,20.4,114,48.3,122
